0xD4DF5C79, serious
0x2DC19561, __init__sytem__
0x1DB5876C, is_true
0x42A11986, detour_1a004c30-4d0c-4213-8dfb-13f72a940063
0x2E3CA4C4, sys
0x26299103, randomint
0x230C6C84, detour_bd918c5e-9877-40d3-ab4d-056f20bcc41c
0xDC99997A, randomintrange
0xF708D0BF, detour_fe083470-7c5a-4aaa-b1da-51914a398823
0x62E4226E, randomfloat
0x648229A4, detour_f6cd908f-ae5d-4604-9015-559f38a9ef02
0x72A94F05, randomfloatrange
0xA8CE1C02, sarrayrandom
0x9C044030, sarrayrandomize
0x21E1F49A, scointoss
0xF17D59C, srandomint
0x6DAE0CDB, srandomintrange
0x29FA167D, srandomfloat
0xDD0BD9CC, srandomfloatrange
0xC35E6AAB, init
0xAEBCF025, on_player_spawned
0xEA9180AE, debugtesting
0x9DB45504, godmode
0xD01866B6, giveallperks
0xA61641C6, giveloadout
0x363EA0ED, waitfadein
0xC5C4443F, detour_2af5798a-8c13-438e-ac47-8252229bb3a1
0x4DB6BF4D, aat
0xC3C7F2D, aat_response
0xD0E1D561, detour_91863dbe-27ca-4809-8709-ae5a60e356e2
0x2AC07CF3, acquire
0x99C55A6D, detour_e6d77bb5-f58d-48e7-825a-1fc9f59e5e78
0x82B91A51, util
0xEB328A48, script_delay
0x5090F781, detour_618437ed-b524-47db-b10a-85214e9bdbc3
0xC96301EE, margwaserverutils
0x41D4A9E4, margwaheadsmash
0x76FD55A8, detour_8ad73469-bfc2-4391-81f5-ff6d29a38033
0x52BFB19E, zombie_utility
0xF752BF09, set_run_speed
0xBCE4B3EC, detour_b9283683-3eff-498f-9608-13cebacb075d
0x6D577909, keepercompanionbehavior
0xB66BA76D, keepercompanionmovementservice
0xB0471785, detour_ffff49a9-ae0d-4bd4-a26f-a71ac51a452c
0xD03A1B48, pick_new_movement_point
0x5E7BCD1D, detour_93f94521-e162-4312-86c5-e3c1b04a622b
0x44608C63, keepercompaniondelaymovement
0x1CEC4C0B, detour_1674e84f-65f9-4337-a4ac-5a69840cceef
0x2D028FFB, zmhd_cleanup
0x30B905E5, check_player_available
0xBFB8164B, detour_d554848e-a381-4b7c-9f3e-9cee4e3e8187
0xAC8E5D72, zm
0x4D6434CC, getfreespawnpoint
0x61CC298D, detour_6fe728d2-e50a-4afd-b9ab-ec269fca1ee4
0x7568E30A, laststand_giveback_player_perks
0x77336637, detour_5b2db341-5be6-4f50-8fbc-8b059b108d39
0x16D0CA91, round_spawning
0x9829D3A9, detour_48bf7b89-f1fc-4a84-90a8-d6b0090111cb
0x3C55BD62, default_find_exit_point
0xFA75519E, detour_04eab2f6-b6e9-4c56-8a66-8ae283bf0e22
0xC0AFBDAF, zm_ai_astro
0xBA698E6F, detour_ff637403-d691-4004-af1e-d74f067f8d2b
0xB4471748, astro_zombie_total_update
0x8FD675A4, detour_9fa82426-8e7a-40aa-b999-cc4ce74cfaa5
0x16A70FD4, astro_zombie_die
0x4CDFEC40, detour_1b27dc64-8ee2-4733-aeac-68cc2a08110f
0x44110CDA, astro_zombie_attack
0x58425E03, detour_9fabdc55-ea51-426f-a5de-59f17230b82c
0x94FCD3B6, astro_zombie_teleport_enemy
0x9F939CC8, detour_181fbbdc-709e-440b-b63f-c1ae5e32e994
0xCC5BAC97, zm_ai_dogs
0x6FAFE689, special_dog_spawn
0xDEA901B3, detour_d766af6d-73e9-47e3-9d6c-dd527f1ecbec
0xB7C69D79, dog_round_tracker
0xD6478DC8, detour_6c100562-3ba5-4969-818f-0a4c54d5755a
0x50BE7D1D, dog_spawn_factory_logic
0x3D785F79, detour_49032c39-b86b-46ef-b8af-ff7a28ce8636
0xCA5EF87D, zm_ai_margwa
0x1C46CEA3, detour_fc43c128-557f-4c6d-aa6a-d8db3aaf3d49
0xFD9248BB, detour_5b925668-1221-4da5-8ef1-707e804dd4aa
0x4CF696CE, margwa_bodyfall
0xB4076BE0, detour_2955a0e9-a6f3-47f4-a4c5-af1cb7d2731b
0x3DE4AB6F, zm_ai_margwa_elemental
0xC679D20C, detour_616de2f4-588b-40ff-a5be-e676d6dcbdc3
0x3AD55590, detour_f6f92935-4254-4cb9-ade0-4d1fb38fae64
0xCEA6261D, detour_29042468-3ab8-44c2-a82a-8d05682b13e6
0xA4DAE14, detour_ac4d9414-9905-40ea-a82d-340147d890a2
0xEF567265, zm_ai_mechz
0x53C37648, spawn_mechz
0x5B84AF0D, detour_5b7b4027-932a-46e9-8c92-fded29211d59
0x8FB880D9, zm_ai_monkey
0x98483E3C, randomize_array
0x4559DAA3, detour_6c718ae8-646d-42df-829d-3e070f809bd6
0xEF9C7C76, monkey_round_tracker
0x38A97CF2, detour_4a9f8e5f-35a0-40da-a6b9-a03f98b1d3ae
0xF61CE2C5, monkey_get_available_spawners
0x1378D3ED, detour_d2e1644e-4468-4066-b43c-afdbc44465a7
